62397555, 156.0
62397556, 155.9215999984741
62397557, 155.76636799395752
62397558, 155.53584062504456
62397559, 155.23152379758702
62397560, 154.85489329934836
62397561, 154.40739540236495
62397562, 153.89044745325998
62397563, 153.30543845175123
62397564, 152.65372961758862
62397565, 151.93665494615303
62397566, 151.15552175294314
62397567, 151.15552175294314
62397568, 149.40617885469536
62397569, 148.44045513047197
62397570, 147.41564586078746
62397571, 146.33293275542408
62397572, 145.193473889991
62397573, 143.99840417860722
62397574, 142.7488358371311
62397575, 141.445858837125
62397576, 140.09054135074084
62397577, 138.68393018670784
62397578, 137.22705121760066
62397579, 135.72090979856196
62397580, 134.1664911776508
62397581, 132.5647608979838
62397582, 130.9166651918337
62397583, 129.22313136684576
62397584, 127.48506818453012
62397585, 125.70336623118399
62397586, 123.87889828139564
62397587, 122.01251965427821
62397588, 120.1050685625789
62397589, 118.15736645480595
62397590, 116.17021835051312
62397591, 114.14441316887843
62397592, 112.08072405071138
62397593, 109.97990867402005
62397594, 107.8427095632668
62397595, 105.66985439243888
62397596, 103.46205628205772
62397597, 101.2200140902479
62397598, 98.94441269798483
62397599, 96.6359232886375
62397600, 94.2952036219203
62397601, 91.92289830236587
62397602, 89.51963904242851
62397603, 87.08604492032549
62397604, 84.62272263272153
62397605, 82.13026674235964
62397606, 79.60925992073928
62397607, 77.06027318594106
62397608, 74.48386613569485
62397609, 71.88058717578663
62397610, 69.25097374389709
62397611, 66.59555252896357
62397612, 63.91483968615469
62397613, 61.20934104754558
62397614, 58.47955232857947
62397615, 55.72595933040022
62397616, 52.94903813813806
62397617, 50.14925531522969
62397618, 47.32706809385199
62397619, 44.48292456154702
62397620, 41.61726384411454
62397621, 38.730516284846686
62397622, 35.82310362017797
62397623, 32.89543915182225
62397624, 29.947927915467
62397625, 26.98096684609366
62397626, 23.99494493999162
62397627, 20.99024341353189
62397628, 17.967235858765342
62397629, 14.926288395908955
62397630, 11.867759822782347
62397631, 8.792001761255587
62397632, 5.699358800768056
62397633, 2.590168638976912
62397634, 1.0
